,System Name,Observation no.,Number of Diagnoses,Minimal Cardinality,Maximal Cardinality,Runtim e (ms)
0,74181,1,150,2.0,3.0,--
1,74181,2,8,2.0,4.0,--
2,74181,3,407,1.0,4.0,--
3,74181,4,65,1.0,2.0,--
4,74181,5,81,3.0,4.0,--
5,74181,6,25,2.0,4.0,--
6,74181,7,36,3.0,3.0,--
7,74181,8,1,2.0,2.0,--
8,74181,9,4,2.0,2.0,--
9,74181,10,114,2.0,4.0,--
10,74181,11,18,2.0,4.0,--
11,74181,12,1,2.0,2.0,--
12,74181,13,48,2.0,2.0,--
13,74181,14,10,3.0,3.0,--
14,74181,15,41,2.0,3.0,--
15,74181,16,4,2.0,4.0,--
16,74181,17,81,3.0,4.0,--
17,74181,18,91,1.0,4.0,--
18,74181,19,72,2.0,3.0,--
19,74181,20,153,1.0,5.0,--
20,74181,21,139,2.0,4.0,--
21,74181,22,165,2.0,3.0,--
22,74181,23,157,2.0,3.0,--
23,74181,24,55,2.0,3.0,--
24,74181,25,28,3.0,3.0,--
25,74181,26,121,1.0,2.0,--
26,74181,27,30,3.0,3.0,--
27,74181,28,76,1.0,2.0,--
28,74181,29,9,1.0,4.0,--
29,74181,30,10,2.0,4.0,--
30,74181,31,17,2.0,4.0,--
31,74181,32,261,2.0,4.0,--
32,74181,33,17,3.0,3.0,--
33,74181,34,72,3.0,3.0,--
34,74181,35,22,2.0,4.0,--
35,74181,36,327,2.0,3.0,--
36,74181,37,6,3.0,3.0,--
37,74181,38,94,2.0,3.0,--
38,74181,39,264,2.0,4.0,--
39,74181,40,184,3.0,4.0,--
40,74181,41,51,3.0,3.0,--
41,74181,42,61,2.0,4.0,--
42,74181,43,67,3.0,3.0,--
43,74181,44,170,2.0,4.0,--
44,74181,45,7,2.0,4.0,--
45,74181,46,207,2.0,3.0,--
46,74181,47,285,3.0,3.0,--
47,74181,48,3,3.0,3.0,--
48,74181,49,38,2.0,4.0,--
49,74181,50,13,2.0,4.0,--
50,74181,51,11,3.0,3.0,--
51,74181,52,36,3.0,3.0,--
52,74181,53,58,3.0,3.0,--
53,74181,54,27,2.0,4.0,--
54,74181,55,4,2.0,2.0,--
55,74181,56,42,3.0,3.0,--
56,74181,57,9,3.0,3.0,--
57,74181,58,69,4.0,4.0,--
58,74181,59,4,3.0,3.0,--
59,74181,60,4,3.0,3.0,--
60,74181,61,8,3.0,3.0,--
61,74181,62,12,3.0,3.0,--
62,74181,63,6,3.0,3.0,--
63,74181,64,129,2.0,4.0,--
64,74181,65,15,3.0,3.0,--
65,74181,66,11,4.0,4.0,--
66,74181,67,2,1.0,2.0,--
67,74181,68,10,2.0,3.0,--
68,74181,69,135,1.0,2.0,--
69,74181,70,1,1.0,1.0,--
70,74181,71,1,2.0,2.0,--
71,74181,72,220,2.0,3.0,--
72,74181,73,12,4.0,4.0,--
73,74181,74,32,1.0,3.0,--
74,74181,75,6,4.0,4.0,--
75,74181,76,86,2.0,4.0,--
76,74181,77,12,2.0,2.0,--
77,74181,78,21,3.0,3.0,--
78,74181,79,44,3.0,3.0,--
79,74181,80,332,1.0,4.0,--
80,74181,81,183,3.0,3.0,--
81,74181,82,27,3.0,3.0,--
82,74181,83,4,3.0,3.0,--
83,74181,84,4,3.0,3.0,--
84,74181,85,125,1.0,3.0,--
85,74181,86,14,3.0,3.0,--
86,74181,87,870,2.0,4.0,--
87,74181,88,646,2.0,4.0,--
88,74181,89,104,2.0,4.0,--
89,74181,90,6,4.0,4.0,--
90,74181,91,67,3.0,3.0,--
91,74181,92,25,3.0,3.0,--
92,74181,93,4,2.0,2.0,--
93,74181,94,0,,,--
94,74181,95,22,2.0,4.0,--
95,74181,96,0,,,--
96,74181,97,8,2.0,4.0,--
97,74181,98,96,3.0,3.0,--
98,74181,99,1,1.0,1.0,--
99,74181,100,88,1.0,4.0,--
100,74181,101,246,3.0,3.0,--
101,74181,102,48,2.0,2.0,--
102,74181,103,0,,,--
103,74181,104,4,3.0,3.0,--
104,74181,105,7,4.0,4.0,--
105,74181,106,38,2.0,3.0,--
106,74181,107,21,3.0,3.0,--
107,74181,108,55,4.0,4.0,--
108,74181,109,27,3.0,3.0,--
109,74181,110,4,2.0,2.0,--
110,74181,111,3,2.0,2.0,--
111,74181,112,24,3.0,3.0,--
112,74181,113,103,4.0,4.0,--
113,74181,114,48,4.0,4.0,--
114,74181,115,66,2.0,4.0,--
115,74181,116,7,3.0,3.0,--
116,74181,117,108,3.0,4.0,--
117,74181,118,12,4.0,4.0,--
118,74181,119,18,3.0,3.0,--
119,74181,120,8,4.0,4.0,--
120,74181,121,42,3.0,4.0,--
121,74181,122,2,3.0,3.0,--
122,74181,123,80,3.0,3.0,--
123,74181,124,3,2.0,2.0,--
124,74181,125,60,3.0,3.0,--
125,74181,126,28,3.0,3.0,--
126,74181,127,12,3.0,3.0,--
127,74181,128,15,2.0,3.0,--
128,74181,129,42,3.0,3.0,--
129,74181,130,10,2.0,2.0,--
130,74181,131,64,3.0,3.0,--
131,74181,132,30,3.0,3.0,--
132,74181,133,189,3.0,3.0,--
133,74181,134,0,,,--
134,74181,135,97,4.0,4.0,--
135,74181,136,16,3.0,3.0,--
136,74181,137,24,3.0,3.0,--
137,74181,138,8,2.0,2.0,--
138,74181,139,12,4.0,4.0,--
139,74181,140,10,4.0,4.0,--
140,74181,141,52,3.0,4.0,--
141,74181,142,2,3.0,3.0,--
142,74181,143,4,4.0,4.0,--
143,74181,144,1,3.0,3.0,--
144,74181,145,35,3.0,3.0,--
145,74181,146,0,,,--
146,74181,147,48,3.0,3.0,--
147,74181,148,67,2.0,4.0,--
148,74181,149,34,1.0,2.0,--
149,74181,150,3,3.0,3.0,--
150,74181,151,0,,,--
151,74181,152,0,,,--
152,74181,153,0,,,--
153,74181,154,2,3.0,3.0,--
154,74181,155,36,1.0,2.0,--
155,74181,156,4,4.0,4.0,--
156,74181,157,0,,,--
157,74181,158,20,4.0,4.0,--
158,74181,159,0,,,--
159,74181,160,0,,,--
160,74181,161,0,,,--
161,74181,162,0,,,--
162,74181,163,7,2.0,2.0,--
163,74181,164,3,2.0,2.0,--
164,74181,165,3,3.0,3.0,--
165,74181,166,1,3.0,3.0,--
166,74181,167,1,2.0,2.0,--
167,74181,168,0,,,--
168,74181,169,12,4.0,4.0,--
169,74181,170,0,,,--
170,74181,171,0,,,--
171,74181,172,19,3.0,3.0,--
172,74181,173,3,3.0,3.0,--
173,74181,174,0,,,--
174,74181,175,2,3.0,3.0,--
175,74181,176,1,3.0,3.0,--
176,74181,177,0,,,--
177,74181,178,0,,,--
178,74181,179,11,4.0,4.0,--
179,74181,180,2,4.0,4.0,--
180,74181,181,0,,,--
181,74181,182,28,3.0,3.0,--
182,74181,183,63,3.0,3.0,--
183,74181,184,0,,,--
184,74181,185,0,,,--
185,74181,186,0,,,--
186,74181,187,8,3.0,3.0,--
187,74181,188,48,3.0,3.0,--
188,74181,189,11,3.0,3.0,--
189,74181,190,6,3.0,3.0,--
190,74181,191,30,3.0,3.0,--
191,74181,192,6,3.0,3.0,--
192,74181,193,0,,,--
193,74181,194,3,4.0,4.0,--
194,74181,195,0,,,--
195,74181,196,27,3.0,3.0,--
196,74181,197,15,2.0,4.0,--
197,74181,198,12,3.0,3.0,--
198,74181,199,61,3.0,3.0,--
199,74181,200,180,3.0,4.0,--
200,74181,201,0,,,--
201,74181,202,6,3.0,3.0,--
202,74181,203,10,3.0,3.0,--
203,74181,204,0,,,--
204,74181,205,5,4.0,4.0,--
205,74181,206,47,3.0,4.0,--
206,74181,207,3,4.0,4.0,--
207,74181,208,1,4.0,4.0,--
208,74181,209,0,,,--
209,74181,210,0,,,--
210,74181,211,0,,,--
211,74181,212,0,,,--
212,74181,213,0,,,--
213,74181,214,2,4.0,4.0,--
214,74181,215,0,,,--
215,74181,216,0,,,--
216,74181,217,0,,,--
217,74181,218,0,,,--
218,74181,219,0,,,--
219,74181,220,0,,,--
220,74181,221,0,,,--
221,74181,222,0,,,--
222,74181,223,0,,,--
223,74181,224,0,,,--
224,74181,225,0,,,--
225,74181,226,0,,,--
226,74181,227,0,,,--
227,74181,228,0,,,--
228,74181,229,0,,,--
229,74181,230,0,,,--
230,74181,231,0,,,--
231,74181,232,4,3.0,3.0,--
232,74181,233,0,,,--
233,74181,234,18,3.0,3.0,--
234,74181,235,7,4.0,4.0,--
235,74181,236,0,,,--
236,74181,237,42,3.0,3.0,--
237,74181,238,91,3.0,3.0,--
238,74181,239,3,3.0,3.0,--
239,74181,240,19,3.0,3.0,--
240,74181,241,67,3.0,3.0,--
241,74181,242,0,,,--
242,74181,243,3,3.0,3.0,--
243,74181,244,0,,,--
244,74181,245,3,3.0,3.0,--
245,74181,246,9,3.0,3.0,--
246,74181,247,0,,,--
247,74181,248,0,,,--
248,74181,249,0,,,--
249,74181,250,30,4.0,4.0,--
250,74181,251,8,3.0,3.0,--
251,74181,252,0,,,--
252,74181,253,0,,,--
253,74181,254,0,,,--
254,74181,255,0,,,--
255,74181,256,0,,,--
256,74181,257,0,,,--
257,74181,258,0,,,--
258,74181,259,0,,,--
259,74181,260,0,,,--
260,74181,261,0,,,--
261,74181,262,0,,,--
262,74181,263,0,,,--
263,74181,264,0,,,--
264,74181,265,0,,,--
265,74181,266,0,,,--
266,74181,267,2,3.0,3.0,--
267,74181,268,0,,,--
268,74181,269,0,,,--
269,74181,270,0,,,--
270,74181,271,0,,,--
271,74181,272,0,,,--
272,74181,273,0,,,--
273,74181,274,0,,,--
274,74181,275,27,3.0,3.0,--
275,74181,276,39,3.0,3.0,--
276,74181,277,1,4.0,4.0,--
277,74181,278,0,,,--
278,74181,279,0,,,--
279,74181,280,0,,,--
280,74181,281,1,4.0,4.0,--
281,74181,282,0,,,--
282,74181,283,0,,,--
283,74181,284,0,,,--
284,74181,285,0,,,--
285,74181,286,0,,,--
286,74181,287,0,,,--
287,74181,288,0,,,--
288,74181,289,0,,,--
289,74181,290,0,,,--
290,74181,291,0,,,--
291,74181,292,0,,,--
292,74181,293,18,3.0,3.0,--
293,74181,294,0,,,--
294,74181,295,0,,,--
295,74181,296,0,,,--
296,74181,297,0,,,--
297,74181,298,0,,,--
298,74181,299,1,4.0,4.0,--
299,74181,300,0,,,--
300,74181,301,0,,,--
301,74181,302,0,,,--
302,74181,303,0,,,--
303,74181,304,0,,,--
304,74181,305,0,,,--
305,74181,306,0,,,--
306,74181,307,0,,,--
307,74181,308,0,,,--
308,74181,309,0,,,--
309,74181,310,0,,,--
310,74181,311,0,,,--
311,74181,312,0,,,--
312,74181,313,0,,,--
313,74181,314,0,,,--
314,74181,315,0,,,--
315,74181,316,0,,,--
316,74181,317,0,,,--
317,74181,318,0,,,--
318,74181,319,0,,,--
319,74181,320,0,,,--
320,74181,321,0,,,--
321,74181,322,0,,,--
322,74181,323,0,,,--
323,74181,324,0,,,--
324,74181,325,0,,,--
325,74181,326,0,,,--
326,74181,327,0,,,--
327,74181,328,0,,,--
328,74181,329,0,,,--
329,74181,330,0,,,--
330,74181,331,0,,,--
331,74181,332,0,,,--
332,74181,333,0,,,--
333,74181,334,0,,,--
334,74181,335,0,,,--
335,74181,336,0,,,--
336,74181,337,0,,,--
337,74181,338,0,,,--
338,74181,339,0,,,--
339,74181,340,0,,,--
340,74181,341,0,,,--
341,74181,342,0,,,--
342,74181,343,0,,,--
343,74181,344,0,,,--
344,74181,345,0,,,--
345,74181,346,0,,,--
346,74181,347,0,,,--
347,74181,348,0,,,--
348,74181,349,0,,,--
349,74181,350,0,,,--
